segment,region,beta
Steel,austria,0.9363295880149812
Steel,belgium,0.9363295880149812
Steel,bulgaria,0.9363295880149812
Steel,croatia,0.9363295880149812
Steel,cyprus,0.9363295880149812
Steel,czechia,0.9363295880149812
Steel,denmark,0.9363295880149812
Steel,estonia,0.9363295880149812
Steel,finland,0.9363295880149812
Steel,france,0.9363295880149812
Steel,germany,0.9363295880149812
Steel,greece,0.9363295880149812
Steel,hungary,0.9363295880149812
Steel,ireland,0.9363295880149812
Steel,italy,0.9363295880149812
Steel,latvia,0.9363295880149812
Steel,lithuania,0.9363295880149812
Steel,luxembourg,0.9363295880149812
Steel,malta,0.9363295880149812
Steel,netherlands,0.9363295880149812
Steel,poland,0.9363295880149812
Steel,portugal,0.9363295880149812
Steel,romania,0.9363295880149812
Steel,slovakia,0.9363295880149812
Steel,slovenia,0.9363295880149812
Steel,spain,0.9363295880149812
Steel,sweden,0.9363295880149812
Steel,liechtenstein,0.9363295880149812
Steel,norway,0.9363295880149812
Steel,iceland,0.9363295880149812
Cement,austria,0.9363295880149812
Cement,belgium,0.9363295880149812
Cement,bulgaria,0.9363295880149812
Cement,croatia,0.9363295880149812
Cement,cyprus,0.9363295880149812
Cement,czechia,0.9363295880149812
Cement,denmark,0.9363295880149812
Cement,estonia,0.9363295880149812
Cement,finland,0.9363295880149812
Cement,france,0.9363295880149812
Cement,germany,0.9363295880149812
Cement,greece,0.9363295880149812
Cement,hungary,0.9363295880149812
Cement,ireland,0.9363295880149812
Cement,italy,0.9363295880149812
Cement,latvia,0.9363295880149812
Cement,lithuania,0.9363295880149812
Cement,luxembourg,0.9363295880149812
Cement,malta,0.9363295880149812
Cement,netherlands,0.9363295880149812
Cement,poland,0.9363295880149812
Cement,portugal,0.9363295880149812
Cement,romania,0.9363295880149812
Cement,slovakia,0.9363295880149812
Cement,slovenia,0.9363295880149812
Cement,spain,0.9363295880149812
Cement,sweden,0.9363295880149812
Cement,liechtenstein,0.9363295880149812
Cement,norway,0.9363295880149812
Cement,iceland,0.9363295880149812
Ammonia,austria,0.9363295880149812
Ammonia,belgium,0.9363295880149812
Ammonia,bulgaria,0.9363295880149812
Ammonia,croatia,0.9363295880149812
Ammonia,cyprus,0.9363295880149812
Ammonia,czechia,0.9363295880149812
Ammonia,denmark,0.9363295880149812
Ammonia,estonia,0.9363295880149812
Ammonia,finland,0.9363295880149812
Ammonia,france,0.9363295880149812
Ammonia,germany,0.9363295880149812
Ammonia,greece,0.9363295880149812
Ammonia,hungary,0.9363295880149812
Ammonia,ireland,0.9363295880149812
Ammonia,italy,0.9363295880149812
Ammonia,latvia,0.9363295880149812
Ammonia,lithuania,0.9363295880149812
Ammonia,luxembourg,0.9363295880149812
Ammonia,malta,0.9363295880149812
Ammonia,netherlands,0.9363295880149812
Ammonia,poland,0.9363295880149812
Ammonia,portugal,0.9363295880149812
Ammonia,romania,0.9363295880149812
Ammonia,slovakia,0.9363295880149812
Ammonia,slovenia,0.9363295880149812
Ammonia,spain,0.9363295880149812
Ammonia,sweden,0.9363295880149812
Ammonia,liechtenstein,0.9363295880149812
Ammonia,norway,0.9363295880149812
Ammonia,iceland,0.9363295880149812
Plastics,austria,0.9363295880149812
Plastics,belgium,0.9363295880149812
Plastics,bulgaria,0.9363295880149812
Plastics,croatia,0.9363295880149812
Plastics,cyprus,0.9363295880149812
Plastics,czechia,0.9363295880149812
Plastics,denmark,0.9363295880149812
Plastics,estonia,0.9363295880149812
Plastics,finland,0.9363295880149812
Plastics,france,0.9363295880149812
Plastics,germany,0.9363295880149812
Plastics,greece,0.9363295880149812
Plastics,hungary,0.9363295880149812
Plastics,ireland,0.9363295880149812
Plastics,italy,0.9363295880149812
Plastics,latvia,0.9363295880149812
Plastics,lithuania,0.9363295880149812
Plastics,luxembourg,0.9363295880149812
Plastics,malta,0.9363295880149812
Plastics,netherlands,0.9363295880149812
Plastics,poland,0.9363295880149812
Plastics,portugal,0.9363295880149812
Plastics,romania,0.9363295880149812
Plastics,slovakia,0.9363295880149812
Plastics,slovenia,0.9363295880149812
Plastics,spain,0.9363295880149812
Plastics,sweden,0.9363295880149812
Plastics,liechtenstein,0.9363295880149812
Plastics,norway,0.9363295880149812
Plastics,iceland,0.9363295880149812
Hydrogen,austria,0.9363295880149812
Hydrogen,belgium,0.9363295880149812
Hydrogen,bulgaria,0.9363295880149812
Hydrogen,croatia,0.9363295880149812
Hydrogen,cyprus,0.9363295880149812
Hydrogen,czechia,0.9363295880149812
Hydrogen,denmark,0.9363295880149812
Hydrogen,estonia,0.9363295880149812
Hydrogen,finland,0.9363295880149812
Hydrogen,france,0.9363295880149812
Hydrogen,germany,0.9363295880149812
Hydrogen,greece,0.9363295880149812
Hydrogen,hungary,0.9363295880149812
Hydrogen,ireland,0.9363295880149812
Hydrogen,italy,0.9363295880149812
Hydrogen,latvia,0.9363295880149812
Hydrogen,lithuania,0.9363295880149812
Hydrogen,luxembourg,0.9363295880149812
Hydrogen,malta,0.9363295880149812
Hydrogen,netherlands,0.9363295880149812
Hydrogen,poland,0.9363295880149812
Hydrogen,portugal,0.9363295880149812
Hydrogen,romania,0.9363295880149812
Hydrogen,slovakia,0.9363295880149812
Hydrogen,slovenia,0.9363295880149812
Hydrogen,spain,0.9363295880149812
Hydrogen,sweden,0.9363295880149812
Hydrogen,liechtenstein,0.9363295880149812
Hydrogen,norway,0.9363295880149812
Hydrogen,iceland,0.9363295880149812
Pulp and Paper,austria,0.9363295880149812
Pulp and Paper,belgium,0.9363295880149812
Pulp and Paper,bulgaria,0.9363295880149812
Pulp and Paper,croatia,0.9363295880149812
Pulp and Paper,cyprus,0.9363295880149812
Pulp and Paper,czechia,0.9363295880149812
Pulp and Paper,denmark,0.9363295880149812
Pulp and Paper,estonia,0.9363295880149812
Pulp and Paper,finland,0.9363295880149812
Pulp and Paper,france,0.9363295880149812
Pulp and Paper,germany,0.9363295880149812
Pulp and Paper,greece,0.9363295880149812
Pulp and Paper,hungary,0.9363295880149812
Pulp and Paper,ireland,0.9363295880149812
Pulp and Paper,italy,0.9363295880149812
Pulp and Paper,latvia,0.9363295880149812
Pulp and Paper,lithuania,0.9363295880149812
Pulp and Paper,luxembourg,0.9363295880149812
Pulp and Paper,malta,0.9363295880149812
Pulp and Paper,netherlands,0.9363295880149812
Pulp and Paper,poland,0.9363295880149812
Pulp and Paper,portugal,0.9363295880149812
Pulp and Paper,romania,0.9363295880149812
Pulp and Paper,slovakia,0.9363295880149812
Pulp and Paper,slovenia,0.9363295880149812
Pulp and Paper,spain,0.9363295880149812
Pulp and Paper,sweden,0.9363295880149812
Pulp and Paper,liechtenstein,0.9363295880149812
Pulp and Paper,norway,0.9363295880149812
Pulp and Paper,iceland,0.9363295880149812
Glass and Cermaics,austria,0.9363295880149812
Glass and Cermaics,belgium,0.9363295880149812
Glass and Cermaics,bulgaria,0.9363295880149812
Glass and Cermaics,croatia,0.9363295880149812
Glass and Cermaics,cyprus,0.9363295880149812
Glass and Cermaics,czechia,0.9363295880149812
Glass and Cermaics,denmark,0.9363295880149812
Glass and Cermaics,estonia,0.9363295880149812
Glass and Cermaics,finland,0.9363295880149812
Glass and Cermaics,france,0.9363295880149812
Glass and Cermaics,germany,0.9363295880149812
Glass and Cermaics,greece,0.9363295880149812
Glass and Cermaics,hungary,0.9363295880149812
Glass and Cermaics,ireland,0.9363295880149812
Glass and Cermaics,italy,0.9363295880149812
Glass and Cermaics,latvia,0.9363295880149812
Glass and Cermaics,lithuania,0.9363295880149812
Glass and Cermaics,luxembourg,0.9363295880149812
Glass and Cermaics,malta,0.9363295880149812
Glass and Cermaics,netherlands,0.9363295880149812
Glass and Cermaics,poland,0.9363295880149812
Glass and Cermaics,portugal,0.9363295880149812
Glass and Cermaics,romania,0.9363295880149812
Glass and Cermaics,slovakia,0.9363295880149812
Glass and Cermaics,slovenia,0.9363295880149812
Glass and Cermaics,spain,0.9363295880149812
Glass and Cermaics,sweden,0.9363295880149812
Glass and Cermaics,liechtenstein,0.9363295880149812
Glass and Cermaics,norway,0.9363295880149812
Glass and Cermaics,iceland,0.9363295880149812
Low temperature heat,austria,0.9363295880149812
Low temperature heat,belgium,0.9363295880149812
Low temperature heat,bulgaria,0.9363295880149812
Low temperature heat,croatia,0.9363295880149812
Low temperature heat,cyprus,0.9363295880149812
Low temperature heat,czechia,0.9363295880149812
Low temperature heat,denmark,0.9363295880149812
Low temperature heat,estonia,0.9363295880149812
Low temperature heat,finland,0.9363295880149812
Low temperature heat,france,0.9363295880149812
Low temperature heat,germany,0.9363295880149812
Low temperature heat,greece,0.9363295880149812
Low temperature heat,hungary,0.9363295880149812
Low temperature heat,ireland,0.9363295880149812
Low temperature heat,italy,0.9363295880149812
Low temperature heat,latvia,0.9363295880149812
Low temperature heat,lithuania,0.9363295880149812
Low temperature heat,luxembourg,0.9363295880149812
Low temperature heat,malta,0.9363295880149812
Low temperature heat,netherlands,0.9363295880149812
Low temperature heat,poland,0.9363295880149812
Low temperature heat,portugal,0.9363295880149812
Low temperature heat,romania,0.9363295880149812
Low temperature heat,slovakia,0.9363295880149812
Low temperature heat,slovenia,0.9363295880149812
Low temperature heat,spain,0.9363295880149812
Low temperature heat,sweden,0.9363295880149812
Low temperature heat,liechtenstein,0.9363295880149812
Low temperature heat,norway,0.9363295880149812
Low temperature heat,iceland,0.9363295880149812
High temperature heat,austria,0.9363295880149812
High temperature heat,belgium,0.9363295880149812
High temperature heat,bulgaria,0.9363295880149812
High temperature heat,croatia,0.9363295880149812
High temperature heat,cyprus,0.9363295880149812
High temperature heat,czechia,0.9363295880149812
High temperature heat,denmark,0.9363295880149812
High temperature heat,estonia,0.9363295880149812
High temperature heat,finland,0.9363295880149812
High temperature heat,france,0.9363295880149812
High temperature heat,germany,0.9363295880149812
High temperature heat,greece,0.9363295880149812
High temperature heat,hungary,0.9363295880149812
High temperature heat,ireland,0.9363295880149812
High temperature heat,italy,0.9363295880149812
High temperature heat,latvia,0.9363295880149812
High temperature heat,lithuania,0.9363295880149812
High temperature heat,luxembourg,0.9363295880149812
High temperature heat,malta,0.9363295880149812
High temperature heat,netherlands,0.9363295880149812
High temperature heat,poland,0.9363295880149812
High temperature heat,portugal,0.9363295880149812
High temperature heat,romania,0.9363295880149812
High temperature heat,slovakia,0.9363295880149812
High temperature heat,slovenia,0.9363295880149812
High temperature heat,spain,0.9363295880149812
High temperature heat,sweden,0.9363295880149812
High temperature heat,liechtenstein,0.9363295880149812
High temperature heat,norway,0.9363295880149812
High temperature heat,iceland,0.9363295880149812
Oil and Gas,austria,0.9363295880149812
Oil and Gas,belgium,0.9363295880149812
Oil and Gas,bulgaria,0.9363295880149812
Oil and Gas,croatia,0.9363295880149812
Oil and Gas,cyprus,0.9363295880149812
Oil and Gas,czechia,0.9363295880149812
Oil and Gas,denmark,0.9363295880149812
Oil and Gas,estonia,0.9363295880149812
Oil and Gas,finland,0.9363295880149812
Oil and Gas,france,0.9363295880149812
Oil and Gas,germany,0.9363295880149812
Oil and Gas,greece,0.9363295880149812
Oil and Gas,hungary,0.9363295880149812
Oil and Gas,ireland,0.9363295880149812
Oil and Gas,italy,0.9363295880149812
Oil and Gas,latvia,0.9363295880149812
Oil and Gas,lithuania,0.9363295880149812
Oil and Gas,luxembourg,0.9363295880149812
Oil and Gas,malta,0.9363295880149812
Oil and Gas,netherlands,0.9363295880149812
Oil and Gas,poland,0.9363295880149812
Oil and Gas,portugal,0.9363295880149812
Oil and Gas,romania,0.9363295880149812
Oil and Gas,slovakia,0.9363295880149812
Oil and Gas,slovenia,0.9363295880149812
Oil and Gas,spain,0.9363295880149812
Oil and Gas,sweden,0.9363295880149812
Oil and Gas,liechtenstein,0.9363295880149812
Oil and Gas,norway,0.9363295880149812
Oil and Gas,iceland,0.9363295880149812
Aviation,austria,0.9363295880149812
Aviation,belgium,0.9363295880149812
Aviation,bulgaria,0.9363295880149812
Aviation,croatia,0.9363295880149812
Aviation,cyprus,0.9363295880149812
Aviation,czechia,0.9363295880149812
Aviation,denmark,0.9363295880149812
Aviation,estonia,0.9363295880149812
Aviation,finland,0.9363295880149812
Aviation,france,0.9363295880149812
Aviation,germany,0.9363295880149812
Aviation,greece,0.9363295880149812
Aviation,hungary,0.9363295880149812
Aviation,ireland,0.9363295880149812
Aviation,italy,0.9363295880149812
Aviation,latvia,0.9363295880149812
Aviation,lithuania,0.9363295880149812
Aviation,luxembourg,0.9363295880149812
Aviation,malta,0.9363295880149812
Aviation,netherlands,0.9363295880149812
Aviation,poland,0.9363295880149812
Aviation,portugal,0.9363295880149812
Aviation,romania,0.9363295880149812
Aviation,slovakia,0.9363295880149812
Aviation,slovenia,0.9363295880149812
Aviation,spain,0.9363295880149812
Aviation,sweden,0.9363295880149812
Aviation,liechtenstein,0.9363295880149812
Aviation,norway,0.9363295880149812
Aviation,iceland,0.9363295880149812
