year,cap,msr_intake_rate,msr_injection_rate,msr_injection_amount,msr_intake_rate,tnac
2024,1596083007,833,400,100000000,0.24,1075000000
2025,1552540492,833,400,100000000,0.24,0
2026,1508997977,833,400,100000000,0.24,0
2027,1412892152,833,400,100000000,0.24,0
2028,1324389327,833,400,100000000,0.24,0
2029,1235886503,833,400,100000000,0.24,0
2030,1118325473,833,400,100000000,0.24,0
2031,1027764443,833,400,100000000,0.24,0
2032,937203413,833,400,100000000,0.24,0
2033,846642383,833,400,100000000,0.24,0
2034,756081353,833,400,100000000,0.24,0
2035,665520323,833,400,100000000,0.24,0
2036,574959293,833,400,100000000,0.24,0
2037,484398263,833,400,100000000,0.24,0
2038,393837233,833,400,100000000,0.24,0
2039,303276203,833,400,100000000,0.24,0
2040,212715173,833,400,100000000,0.24,0
2041,122154143,833,400,100000000,0.24,0
2042,31593113,833,400,100000000,0.24,0
2043,0,0,0,100000000,0.24,0
2044,0,0,0,100000000,0.24,0
2045,0,0,0,100000000,0.24,0
2046,0,0,0,100000000,0.24,0
2047,0,0,0,100000000,0.24,0
2048,0,0,0,100000000,0.24,0
2049,0,0,0,100000000,0.24,0
2050,0,0,0,100000000,0.24,0
